month,GPR,GPRC_DEU,GPRHC_USA
01-01-2000,64.46,0.11,1.74
01-02-2000,63.54,0.17,1.83
01-03-2000,50.10,0.15,1.33
01-04-2000,48.68,0.13,1.38
01-05-2000,79.48,0.22,2.03
01-06-2000,64.72,0.16,1.71
01-07-2000,51.90,0.15,1.29
01-08-2000,46.49,0.13,1.12
01-09-2000,52.69,0.15,1.51
01-10-2000,76.46,0.17,2.03
01-11-2000,45.06,0.10,1.25
01-12-2000,45.40,0.10,1.35
01-01-2001,46.90,0.09,1.33
01-02-2001,55.09,0.15,1.17
01-03-2001,61.71,0.17,1.41
01-04-2001,50.57,0.12,1.33
01-05-2001,60.38,0.19,1.60
01-06-2001,72.06,0.23,1.79
01-07-2001,61.07,0.24,1.77
01-08-2001,64.11,0.17,1.63
01-09-2001,498.65,1.55,10.26
01-10-2001,512.53,1.21,10.85
01-11-2001,306.79,0.85,7.61
01-12-2001,236.10,0.52,6.37
01-01-2002,172.48,0.37,4.63
01-02-2002,146.19,0.36,3.70
01-03-2002,151.98,0.37,3.97
01-04-2002,157.50,0.38,4.02
01-05-2002,163.32,0.43,4.13
01-06-2002,149.33,0.39,3.77
01-07-2002,122.78,0.28,3.12
01-08-2002,127.06,0.32,3.04
01-09-2002,174.90,0.59,3.87
01-10-2002,172.03,0.41,4.19
01-11-2002,159.13,0.44,3.99
01-12-2002,175.81,0.48,4.09
01-01-2003,206.43,0.83,4.80
01-02-2003,239.61,1.29,4.92
01-03-2003,358.71,1.59,8.51
01-04-2003,255.78,0.98,7.36
01-05-2003,162.12,0.51,4.55
01-06-2003,145.77,0.41,4.32
01-07-2003,134.90,0.23,4.04
01-08-2003,138.23,0.33,3.83
01-09-2003,118.20,0.46,3.53
01-10-2003,108.32,0.40,3.25
01-11-2003,118.09,0.45,3.28
01-12-2003,129.47,0.38,3.75
01-01-2004,113.47,0.27,3.38
01-02-2004,115.08,0.30,3.33
01-03-2004,138.53,0.59,3.64
01-04-2004,149.63,0.41,4.21
01-05-2004,121.09,0.30,3.59
01-06-2004,137.23,0.53,4.30
01-07-2004,131.02,0.22,4.13
01-08-2004,140.37,0.29,4.10
01-09-2004,153.87,0.39,4.44
01-10-2004,119.86,0.31,3.55
01-11-2004,122.71,0.56,3.72
01-12-2004,109.90,0.36,2.91
01-01-2005,100.89,0.28,2.75
01-02-2005,108.98,0.53,3.10
01-03-2005,90.41,0.28,2.52
01-04-2005,87.03,0.24,2.61
01-05-2005,98.21,0.38,2.83
01-06-2005,81.12,0.26,2.43
01-07-2005,165.90,0.41,4.10
01-08-2005,116.23,0.42,3.10
01-09-2005,103.81,0.38,2.84
01-10-2005,87.06,0.24,2.63
01-11-2005,83.48,0.25,2.32
01-12-2005,95.35,0.33,2.86
01-01-2006,94.51,0.52,2.73
01-02-2006,95.86,0.36,2.65
01-03-2006,92.80,0.27,2.80
01-04-2006,89.02,0.27,2.43
01-05-2006,85.21,0.40,2.65
01-06-2006,102.57,0.37,2.80
01-07-2006,137.13,0.43,3.59
01-08-2006,147.08,0.46,3.48
01-09-2006,111.72,0.48,3.43
