Dates,10 Y Bond Yield,2 Y Bond Yield,5 Y Bond Yield,1 year Bond Yield
2000-01-07,5.443,4.246,4.832,3.74
2000-01-14,5.552,4.291,4.965,3.728
2000-01-21,5.584,4.291,5.063,3.738
2000-01-28,5.63,4.401,5.092,3.884
2000-02-04,5.494,4.383,5.068,3.867
2000-02-11,5.599,4.453,5.171,3.865
2000-02-18,5.571,4.523,5.193,3.962
2000-02-25,5.45,4.393,5.027,3.857
2000-03-03,5.461,4.461,5.073,3.936
2000-03-10,5.37,4.488,5.001,4.024
2000-03-17,5.241,4.41,4.904,3.99
2000-03-24,5.248,4.463,4.889,4.17
2000-03-31,5.216,4.423,4.854,4.139
2000-04-07,5.184,4.368,4.829,4.123
2000-04-14,5.237,4.451,4.904,4.178
2000-04-21,5.298,4.518,4.968,4.264
2000-04-28,5.298,4.594,4.998,4.346
2000-05-05,5.421,4.825,5.22,4.542
2000-05-12,5.394,4.899,5.23,4.608
2000-05-19,5.416,5.05,5.273,4.772
2000-05-26,5.202,4.804,5.008,4.639
2000-06-02,5.089,4.779,4.892,4.641
2000-06-09,5.147,4.968,5.038,4.765
2000-06-16,5.09,4.777,4.918,4.735
2000-06-23,5.257,4.992,5.102,4.868
2000-06-30,5.221,4.95,5.022,4.871
2000-07-07,5.258,4.991,5.089,4.873
2000-07-14,5.302,5.127,5.19,4.983
2000-07-21,5.258,5.12,5.171,5.005
2000-07-28,5.198,5.112,5.135,5.032
2000-08-04,5.187,5.072,5.104,5.004
2000-08-11,5.135,5.152,5.109,5.092
2000-08-18,5.208,5.248,5.208,5.144
2000-08-25,5.23,5.248,5.222,5.172
2000-09-01,5.187,5.12,5.114,5.08
2000-09-08,5.277,5.214,5.207,5.158
2000-09-15,5.297,5.096,5.131,5.106
2000-09-22,5.238,4.993,5.034,5.018
2000-09-29,5.23,5.043,5.057,5.093
2000-10-06,5.252,5.068,5.096,5.118
2000-10-13,5.197,4.971,4.975,5.072
2000-10-20,5.198,5.062,5.062,5.138
2000-10-27,5.209,5.061,5.047,5.166
2000-11-03,5.212,5.05,5.077,5.133
2000-11-10,5.218,5.006,5.06,5.085
2000-11-17,5.185,4.973,4.998,5.042
2000-11-24,5.12,4.994,4.992,5.067
2000-12-01,4.998,4.854,4.832,4.966
2000-12-08,4.958,4.758,4.734,4.866
2000-12-15,4.874,4.619,4.604,4.797
2000-12-22,4.871,4.54,4.584,4.679
2000-12-29,4.851,4.446,4.508,4.63
2001-01-05,4.693,4.206,4.341,4.368
2001-01-12,4.83,4.476,4.542,4.569
2001-01-19,4.844,4.389,4.513,4.485
2001-01-26,4.852,4.535,4.608,4.606
2001-02-02,4.787,4.42,4.507,4.538
2001-02-09,4.771,4.422,4.509,4.552
2001-02-16,4.818,4.491,4.592,4.579
2001-02-23,4.828,4.485,4.583,4.627
2001-03-02,4.735,4.397,4.492,4.536
2001-03-09,4.717,4.4,4.479,4.546
2001-03-16,4.665,4.202,4.352,4.44
2001-03-23,4.621,4.094,4.274,4.278
2001-03-30,4.705,4.138,4.334,4.288
2001-04-06,4.712,4.125,4.333,4.269
2001-04-13,4.857,4.408,4.564,4.556
2001-04-20,4.951,4.446,4.612,4.573
2001-04-27,4.974,4.49,4.64,4.628
2001-05-04,4.955,4.506,4.646,4.66
2001-05-11,5.016,4.262,4.583,4.412
2001-05-18,5.07,4.373,4.687,4.457
2001-05-25,5.199,4.376,4.736,4.454
2001-06-01,5.076,4.319,4.633,4.34
2001-06-08,5.073,4.328,4.604,4.32
2001-06-15,5.014,4.31,4.565,4.328
2001-06-22,4.94,4.218,4.465,4.265
2001-06-29,5.103,4.281,4.59,4.265
2001-07-06,5.08,4.313,4.601,4.286
2001-07-13,5.077,4.283,4.583,4.269
2001-07-20,4.957,4.223,4.49,4.242
2001-07-27,4.904,4.152,4.429,4.188
2001-08-03,4.909,4.126,4.423,4.145
