Date,Eurozone GDP Growth,CPI_Inflation_YoY,Core_CPI,Eurozone_Unemployment,Industrial_Production,Retail_Sales,M3_Money_Supply
31-01-2000,1.3,2.7,76.2,9.4,-0.08,2.3,4723291
29-02-2000,1.3,3.2,76.45,9.4,0.34,2,4738473
31-03-2000,1.3,3.8,76.68,9.3,0.39,-1.2,4768884
30-04-2000,1.3,3.1,76.75,9.2,0.63,2.5,4826279
31-05-2000,1.3,3.2,76.85,9.1,0.29,3.9,4820008
30-06-2000,0.9,3.7,77.13,9.1,0.07,4.3,4805383
31-07-2000,0.9,3.7,77.23,9,-0.18,6,4802374
31-08-2000,0.9,3.4,77.3,9,-0.27,-1,4798357
30-09-2000,0.6,3.5,77.61,8.9,0.42,4.7,4794882
31-10-2000,0.6,3.4,77.62,8.8,-0.37,1.9,4804690
30-11-2000,0.6,3.4,77.77,8.8,0.02,3.4,4832421
31-12-2000,0.4,3.4,77.94,8.7,-0.34,4,4910328
31-01-2001,0.4,3.7,77.59,8.6,-0.49,4.3,5026837
28-02-2001,0.4,3.5,77.82,8.5,-0.66,3.2,5047544
31-03-2001,1.1,2.9,78.23,8.5,-0.25,3.3,5090546
30-04-2001,1.1,3.3,78.7,8.5,-0.35,2.4,5135593
31-05-2001,1.1,3.6,79.07,8.5,-0.53,2,5174256
30-06-2001,0,3.2,79.18,8.5,-0.53,3.3,5216143
31-07-2001,0,2.7,79.01,8.5,-0.61,2.1,5209922
31-08-2001,0,2.7,78.93,8.5,-0.09,3.1,5211887
30-09-2001,0.2,2.6,79.14,8.5,-0.54,2.4,5263161
31-10-2001,0.2,2.1,79.2,8.5,-0.3,1.1,5289730
30-11-2001,0.2,1.9,79.15,8.6,-0.59,1.7,5343832
31-12-2001,-0.1,1.6,79.52,8.6,-0.04,2.2,5446737
31-01-2002,-0.1,1.1,79.55,8.6,0.7,-0.4,5430255
28-02-2002,-0.1,1.1,79.68,8.6,-0.01,1.4,5431228
31-03-2002,0.2,1.5,80.13,8.6,0.76,1.2,5468342
30-04-2002,0.2,1.6,80.48,8.6,0.48,1,5506616
31-05-2002,0.2,1.2,80.64,8.7,0.43,1.3,5549587
30-06-2002,0.5,1.1,80.59,8.7,0.82,0.7,5569629
31-07-2002,0.5,1.5,80.51,8.8,-0.03,1.7,5562731
31-08-2002,0.5,1.8,80.55,8.8,-0.1,1.6,5576687
30-09-2002,0.4,1.5,80.77,8.9,0.1,1.7,5622655
31-10-2002,0.4,2,80.96,8.9,-0.26,2.7,5643922
30-11-2002,0.4,2.2,80.9,8.9,0.55,0.4,5714501
31-12-2002,0.2,2.4,81.28,9,-0.55,-0.4,5807825
31-01-2003,0.2,2.6,81.14,9.1,0.83,1.9,5805923
28-02-2003,0.2,3,81.46,9.1,0.12,1.2,5845442
31-03-2003,-0.3,3,81.94,9.2,-0.27,0.4,5889676
30-04-2003,-0.3,2.2,82.02,9.2,-0.63,1.3,5977504
31-05-2003,-0.3,2.1,81.98,9.2,-0.03,0.5,6021151
30-06-2003,0,2.1,82.08,9.2,0.13,0.7,6020728
31-07-2003,0,2.1,81.94,9.2,0.52,0.1,6028347
31-08-2003,0,2.2,82.08,9.2,-0.21,-0.1,6027513
30-09-2003,0.6,2.3,82.36,9.2,0.65,-0.1,6017976
31-10-2003,0.6,2,82.46,9.2,0.13,0.9,6069018
30-11-2003,0.6,1.8,82.46,9.2,0.68,-0.6,6119711
31-12-2003,0.6,1.9,82.72,9.3,0.05,-0.2,6180922
31-01-2004,0.6,1.9,82.47,9.4,0.17,1.9,6172394
29-02-2004,0.6,1.7,82.66,9.4,0.62,0.4,6197448
31-03-2004,0.5,1.7,83.09,9.4,-0.39,1.7,6225884
30-04-2004,0.5,2.3,83.5,9.4,0.39,1.9,6279744
31-05-2004,0.5,3.1,83.77,9.4,0.74,0.2,6303753
30-06-2004,0.6,3.3,83.82,9.3,-0.77,2,6334158
31-07-2004,0.6,3,83.63,9.4,0.74,1.5,6362249
31-08-2004,0.6,2.7,83.79,9.4,0.09,1.2,6345512
30-09-2004,0.2,2.5,83.9,9.4,0.11,1,6376641
31-10-2004,0.2,3.2,84.23,9.4,0.89,-0.2,6436042
30-11-2004,0.2,3.5,84.18,9.4,0.25,2.2,6469650
31-12-2004,0.4,3.3,84.4,9.4,0.78,2.2,6568176
31-01-2005,0.4,3,83.85,9.3,0.35,2.5,6581635
28-02-2005,0.4,3,84.15,9.3,0.72,2.1,6599810
31-03-2005,0.3,3.1,84.8,9.3,-0.14,2.2,6627776
30-04-2005,0.3,3.5,85.15,9.4,0.21,0.7,6713297
31-05-2005,0.3,2.8,85.33,9.3,0.09,1.9,6765830
30-06-2005,0.6,2.5,85.42,9.3,0.44,2.1,6837023
31-07-2005,0.6,3.2,85.32,9.2,-0.32,2.7,6889246
31-08-2005,0.6,3.6,85.52,9.2,0.33,5.1,6869183
30-09-2005,0.7,4.7,85.93,9.2,-1.94,2.7,6925241
31-10-2005,0.7,4.3,86.14,9.2,1.22,2.7,6968588
30-11-2005,0.7,3.5,85.94,9.1,1.1,1,7001166
31-12-2005,0.7,3.4,86.25,9.1,0.48,1.1,7130670
31-01-2006,0.7,4,85.85,9,0.16,1.3,7120287
28-02-2006,0.7,3.6,86.09,8.9,0.04,2,7152523
31-03-2006,0.9,3.4,86.59,8.8,0.23,1.4,7212527
30-04-2006,0.9,3.5,87.17,8.7,0.3,2.2,7340883
31-05-2006,0.9,4.2,87.41,8.6,0.03,2.4,7371811
30-06-2006,1.1,4.3,87.47,8.5,0.34,2.3,7407431
31-07-2006,1.1,4.1,87.35,8.4,-0.07,2.7,7417857
31-08-2006,1.1,3.8,87.43,8.4,0.43,2.8,7440735
30-09-2006,0.5,2.1,87.43,8.3,-0.18,1.9,7545250
31-10-2006,0.5,1.3,87.46,8.2,-0.1,2.1,7568435
30-11-2006,0.5,2,87.5,8.2,-0.03,2.4,7629036
31-12-2006,1.1,2.5,87.84,8,1.03,3.2,7801675
31-01-2007,1.1,2.1,87.36,8,-0.36,1.7,7824797
28-02-2007,1.1,2.4,87.61,7.9,0.96,2.3,7856264
31-03-2007,0.7,2.8,88.21,7.8,0.18,3.3,8014409
30-04-2007,0.7,2.6,88.78,7.7,0.67,2.5,8076317
31-05-2007,0.7,2.7,88.99,7.7,0.05,1.1,8166526
30-06-2007,0.6,2.7,89.08,7.6,0.03,1.8,8242225
31-07-2007,0.6,2.4,88.85,7.6,-0.16,2,8298009
31-08-2007,0.6,2,88.89,7.6,0.2,2,8303861
30-09-2007,0.4,2.8,89.23,7.5,0.24,2,8395223
31-10-2007,0.4,3.5,89.68,7.5,-0.29,1.2,8500092
30-11-2007,0.4,4.3,90.17,7.4,0.56,0.7,8593524
31-12-2007,0.5,4.1,90.53,7.5,0.06,-0.8,8691439
31-01-2008,0.5,4.3,90.16,7.4,-0.12,1.5,8785716
