Dates,EURUSD Exchange rate,ECBRateFutures,EuroStoxx 50 (Equity Markets)
03-01-2000,1.0243,3.06,4849.22
04-01-2000,1.0296,3.01,4657.83
05-01-2000,1.0321,2.99,4541.75
06-01-2000,1.0328,2.92,4500.69
07-01-2000,1.0295,2.89,4648.27
10-01-2000,1.0256,2.98,4714.03
11-01-2000,1.0336,3.01,4671.5
12-01-2000,1.0309,3.07,4649.3
13-01-2000,1.0258,3.04,4688.35
14-01-2000,1.0122,3.03,4829.36
17-01-2000,1.0122,3.02,4884.5
18-01-2000,1.0137,2.98,4761
19-01-2000,1.0133,2.85,4768.37
20-01-2000,1.0168,2.95,4778.71
21-01-2000,1.0098,3.15,4719.29
24-01-2000,1.0072,3.11,4718.76
25-01-2000,1.0009,3.09,4653.61
26-01-2000,1.0019,3.06,4721.03
27-01-2000,0.9882,3.1,4786.82
28-01-2000,0.9747,3.3,4781.94
31-01-2000,0.9707,3.29,4684.48
01-02-2000,0.9711,3.26,4792.04
02-02-2000,0.9765,3.18,4902.12
03-02-2000,0.9894,3.19,5046.12
04-02-2000,0.9832,3.26,5119.79
07-02-2000,0.9815,3.25,5041.08
08-02-2000,0.9855,3.25,5176.17
09-02-2000,0.9942,3.24,5191.79
10-02-2000,0.9854,3.24,5174.35
11-02-2000,0.9875,3.25,5195.67
14-02-2000,0.9783,3.25,5166.08
15-02-2000,0.9815,3.25,5043.33
16-02-2000,0.9863,3.25,5063.73
17-02-2000,0.9878,3.23,5114.47
18-02-2000,0.9839,3.2,5079.59
21-02-2000,0.9877,3.2,5033.33
22-02-2000,1.0038,3.22,5024.05
23-02-2000,1.0036,3.48,5086
24-02-2000,0.992,3.41,5117.41
25-02-2000,0.9749,3.34,5208.87
28-02-2000,0.9709,3.37,5126.33
29-02-2000,0.9642,3.47,5182.62
01-03-2000,0.9727,3.37,5235.14
02-03-2000,0.9656,3.33,5406.37
03-03-2000,0.9586,3.28,5450.22
06-03-2000,0.9586,3.29,5464.43
07-03-2000,0.9584,3.31,5426.36
08-03-2000,0.961,3.35,5364.52
09-03-2000,0.9669,3.47,5352.88
10-03-2000,0.9637,3.52,5416.81
13-03-2000,0.9642,3.54,5254.41
14-03-2000,0.9686,3.53,5258.32
15-03-2000,0.9669,3.5,5083.15
16-03-2000,0.9696,3.49,5175.23
17-03-2000,0.9721,3.49,5231.35
20-03-2000,0.9728,3.48,5286.71
21-03-2000,0.9615,3.49,5266.23
22-03-2000,0.961,3.58,5268.35
23-03-2000,0.9715,3.86,5259.15
24-03-2000,0.9779,3.59,5379.75
27-03-2000,0.9672,3.6,5369.11
28-03-2000,0.9605,3.6,5426.57
29-03-2000,0.9514,3.62,5416.32
30-03-2000,0.9613,3.7,5251.97
31-03-2000,0.9555,3.75,5249.55
03-04-2000,0.9553,3.6,5118.37
04-04-2000,0.9596,3.6,5176.71
05-04-2000,0.9625,3.58,5044.17
06-04-2000,0.9584,3.58,5179.96
07-04-2000,0.9553,3.58,5259.52
10-04-2000,0.9627,3.59,5282.26
11-04-2000,0.9592,3.64,5174.38
12-04-2000,0.959,3.72,5179.28
13-04-2000,0.9524,3.68,5181.33
14-04-2000,0.9622,3.61,5034.25
17-04-2000,0.9527,3.66,4979.66
18-04-2000,0.9453,3.83,5061.9
19-04-2000,0.9402,3.83,5078.69
20-04-2000,0.9374,3.35,5117.78
21-04-2000,0.9385,,
24-04-2000,0.938,,
25-04-2000,0.9208,3.81,5158.13
26-04-2000,0.9235,3.91,5245.11
27-04-2000,0.9099,3.83,5171.96
28-04-2000,0.9119,3.93,5303.95
01-05-2000,0.9158,,5309.29
02-05-2000,0.91,3.9,5434.81
03-05-2000,0.8948,3.91,5316.94
04-05-2000,0.8895,3.96,5306.32
05-05-2000,0.897,4.03,5351.71
08-05-2000,0.8977,4.01,5285.09
09-05-2000,0.9075,3.99,5182.73
10-05-2000,0.9068,3.98,5065.85
11-05-2000,0.9016,3.93,5171.77
12-05-2000,0.9197,3.9,5238.42
15-05-2000,0.9112,3.94,5182.68
16-05-2000,0.9003,3.98,5335.02
17-05-2000,0.8959,4.08,5230.74
18-05-2000,0.8946,4.02,5247.13
19-05-2000,0.8975,3.79,5063.46
22-05-2000,0.9031,3.49,4945.17
23-05-2000,0.9071,2.9,4984.7
24-05-2000,0.9044,4.06,4903.92
25-05-2000,0.9115,4.03,5018.79
26-05-2000,0.9309,4.02,5007.97
29-05-2000,0.9266,4.04,5084.69
30-05-2000,0.9301,4.08,5156.07
31-05-2000,0.938,4.2,5200.89
01-06-2000,0.9312,4.16,5275.2
02-06-2000,0.9463,4.16,5428.27
